epochs;acdc_2_layers;acdc_5_layers;acdc_10_layers;circ_2_layers
2;0.29271;0.29469;0.3525;0.4591
4;0.31062;0.33594;0.37;0.4725
6;0.3026;0.35688;0.3375;0.4903
8;0.28979;0.37688;0.3599;0.5008
10;0.28313;0.3876;0.33187;0.4937
12;0.30417;0.38969;0.295;0.5016
14;0.32063;0.41198;0.2074;0.5111
16;0.33917;0.40813;0.19677;0.5125
18;0.35188;0.425;0.1799;0.5056
20;0.36271;0.42063;0.21281;0.5206
22;0.37563;0.42323;0.17635;0.5172
24;0.38427;0.45;0.15958;0.518
26;0.39396;0.45281;0.16719;0.5207
28;0.39854;0.44781;0.16771;0.5151
30;0.40865;0.43927;0.1774;0.5173
32;0.41583;0.45542;0.18865;0.5225
34;0.42719;0.45042;0.19635;0.5203
36;0.43469;0.44083;0.18448;0.5137
38;0.445;0.4575;0.18688;0.525
40;0.44448;0.46573;0.16677;0.5263
42;0.44594;0.44094;0.1849;0.5251
44;0.45302;0.45906;0.18521;0.5186
46;0.45979;0.44063;0.17344;0.5189
48;0.46625;0.41802;0.18115;0.522
50;0.47052;0.43562;0.19531;0.5208
52;0.47188;0.41219;0.19281;0.517
54;0.47406;0.41365;0.19073;0.5227
56;0.47365;0.41385;0.19521;0.5203
58;0.47854;0.40354;0.19292;0.5203
60;0.46062;0.4075;0.19292;0.517
62;0.4699;0.42417;0.1899;0.5183
64;0.48458;0.41792;0.17229;0.5198
66;0.48344;0.40688;0.20052;0.5211
68;0.48708;0.38521;0.1726;0.5243
70;0.48531;0.37688;0.18667;0.5186
72;0.49208;0.42792;0.18365;0.5202
74;0.49344;0.3551;0.19094;0.5194
76;0.49062;0.35438;0.20094;0.5194
78;0.48271;0.36417;0.18906;0.5179
80;0.47833;0.41177;0.18615;0.5209
82;0.49031;0.38219;0.18469;0.5184
84;0.4874;0.35448;0.19552;0.5185
86;0.49219;0.4024;0.19375;0.5212
88;0.49865;0.3675;0.17854;0.5187
90;0.485;0.30844;0.18146;0.5147
92;0.49885;0.35271;0.17521;0.5185
94;0.49083;0.37187;0.18781;0.517
96;0.49;0.36625;0.18875;0.5178
98;0.46979;0.38292;0.18719;0.5176
100;0.49833;0.34667;0.19917;0.5181
102;0.48115;0.34865;0.20344;0.5191
104;0.47469;0.36;0.20302;0.5161
106;0.49542;0.36552;0.19656;0.5169
108;0.49323;0.35375;0.19583;0.5159
110;0.46812;0.32479;0.20562;0.5171
112;0.4826;0.36156;0.20146;0.5178
114;0.4949;0.37375;0.18521;0.5184
116;0.46135;0.32281;0.20021;0.5167
118;0.48229;0.36292;0.20302;0.5172
120;0.46729;0.37938;0.1925;0.5139
122;0.49948;0.37729;0.18865;0.5182
124;0.48458;0.38063;0.19563;0.5174
126;0.50771;0.39344;0.1651;0.5179
128;0.49458;0.32812;0.19563;0.516
130;0.48323;0.36427;0.17302;0.5187
132;0.47823;0.34271;0.19604;0.5181
134;0.49719;0.36365;0.19469;0.5178
136;0.4924;0.33646;0.19542;0.5179
138;0.50208;0.31573;0.20333;0.5139
140;0.48104;0.3274;0.19437;0.5191
142;0.49271;0.34906;0.20521;0.5135
144;0.49792;0.35521;0.20021;0.5185
146;0.4825;0.34802;0.20833;0.5166
148;0.48625;0.34854;0.21375;0.5198
150;0.50292;0.32406;0.2076;0.5144
152;0.50958;0.38333;0.20583;0.5173
154;0.50583;0.34125;0.21458;0.5164
156;0.48146;0.35521;0.2175;0.5107
158;0.48198;0.36396;0.21771;0.5188
160;0.46594;0.34594;0.21229;0.5159
162;0.51187;0.3825;0.21792;0.5167
164;0.51615;0.37917;0.21531;0.5173
166;0.51;0.37583;0.21458;0.5158
168;0.49885;0.38427;0.21625;0.517
170;0.50958;0.37125;0.21854;0.515
172;0.49844;0.3576;0.20594;0.5177
174;0.50698;0.36115;0.2101;0.5163
176;0.50417;0.35625;0.21229;0.5185
178;0.51052;0.39219;0.21844;0.5186
180;0.51448;0.35865;0.21646;0.5159
182;0.47781;0.36865;0.22437;0.5118
184;0.50323;0.38125;0.21198;0.5144
186;0.49583;0.35188;0.21479;0.5109
188;0.51802;0.36896;0.21802;0.5144
190;0.49531;0.37958;0.22813;0.5151
192;0.49365;0.3749;0.20646;0.5146
194;0.51406;0.37187;0.21781;0.5099
196;0.51448;0.37615;0.22656;0.5152
198;0.51688;0.33729;0.21958;0.5139
200;0.50677;0.37479;0.22104;0.5153